,iphone5,iphone5,iphone5,iphone7,iphone7,iphone7,headphone,headphone,headphone
,revenue,expense,profit,revenue,expense,profit,revenue,expense,profit
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,438.0,230.0,208.0,598.0,230.0,368.0,456.0,230.0,226.0
2,648.0,305.0,343.0,2384.0,415.0,1969.0,1296.0,315.0,981.0
3,2420.0,450.0,1970.0,5681.0,1665.0,4016.0,1562.0,905.0,657.0
4,3122.0,1690.0,1432.0,9664.0,3360.0,6304.0,2376.0,1090.0,1286.0
5,4180.0,2185.0,1995.0,12810.0,3200.0,9610.0,2590.0,1660.0,930.0
6,4862.0,2925.0,1937.0,9030.0,3005.0,6025.0,2812.0,1810.0,1002.0
7,8246.0,3170.0,5076.0,8127.0,2900.0,5227.0,3404.0,1965.0,1439.0
8,6160.0,2980.0,3180.0,10098.0,2780.0,7318.0,2072.0,2380.0,-308.0
9,5642.0,2860.0,2782.0,13230.0,2650.0,10580.0,1562.0,1450.0,112.0
10,5616.0,2745.0,2871.0,9834.0,2470.0,7364.0,1168.0,1090.0,78.0
11,6784.0,2680.0,4104.0,6556.0,2340.0,4216.0,1420.0,815.0,605.0
12,6572.0,2560.0,4012.0,8428.0,2860.0,5568.0,2144.0,990.0,1154.0
13,5375.0,2450.0,2925.0,5472.0,3180.0,2292.0,952.0,1500.0,-548.0
14,7208.0,2390.0,4818.0,6992.0,3320.0,3672.0,1360.0,660.0,700.0
15,6148.0,2290.0,3858.0,7550.0,3520.0,4030.0,1472.0,950.0,522.0
16,6048.0,2210.0,3838.0,6992.0,3750.0,3242.0,1020.0,1030.0,-10.0
17,5450.0,2125.0,3325.0,10234.0,3920.0,6314.0,1159.0,710.0,449.0
18,5304.0,3810.0,1494.0,8100.0,4110.0,3990.0,1596.0,810.0,786.0
19,3255.0,3710.0,-455.0,8154.0,4390.0,3764.0,1392.0,1110.0,282.0
20,4686.0,2270.0,2416.0,8456.0,4630.0,3826.0,1265.0,970.0,295.0
21,4047.0,3280.0,767.0,9966.0,4860.0,5106.0,1877.1555184393437,880.0,997.1555184393437
22,2982.0,2830.0,152.0,7248.0,5120.0,2128.0,4356.616513086229,1310.0,3046.616513086229
23,3834.0,2080.0,1754.0,7248.0,3440.0,3808.0,693.1003342886163,3040.0,-2346.899665711384
