,2-apple,0-apple,4-apple,1-samsung,3-samsung,4-samsung
0,5.0,4.0,1.0,2.0,3.0,6.0
1,4.0,3.0,1.0,5.0,2.0,6.0
2,4.0,2.0,1.0,5.0,3.0,6.0
3,4.0,2.0,1.0,6.0,3.0,5.0
4,4.0,1.0,2.0,5.0,3.0,6.0
5,4.0,3.0,2.0,5.0,1.0,6.0
6,2.0,4.0,1.0,5.0,3.0,6.0
7,4.0,1.0,3.0,5.0,2.0,6.0
8,3.0,1.0,4.0,5.0,2.0,6.0
9,2.0,1.0,4.0,5.0,3.0,6.0
10,1.0,2.0,4.0,5.0,3.0,6.0
11,2.0,4.0,1.0,5.0,3.0,6.0
12,3.0,4.0,5.0,1.0,2.0,6.0
13,1.0,2.0,4.0,5.0,3.0,6.0
14,1.0,3.0,4.0,5.0,2.0,6.0
15,2.0,4.0,5.0,3.0,1.0,6.0
16,3.0,1.0,4.0,5.0,2.0,6.0
17,3.0,2.0,1.0,5.0,4.0,6.0
18,4.0,1.0,2.0,5.0,3.0,6.0
19,3.0,1.0,2.0,5.0,4.0,6.0
20,4.0,1.0,2.0,5.0,3.0,6.0
21,4.0,2.0,1.0,5.0,3.0,6.0
22,2.0,1.0,5.0,3.0,4.0,6.0
23,6.0,5.0,4.0,3.0,2.0,1.0
24,6.0,5.0,4.0,3.0,2.0,1.0
25,6.0,5.0,4.0,3.0,2.0,1.0
26,6.0,5.0,4.0,3.0,2.0,1.0
27,6.0,5.0,4.0,3.0,2.0,1.0
